"","age","gender_bin","country","grit","extraversion","openess","conscientiousness","agreeableness","neuroticism","VLC_QA","VLC_rest","GS1","GS2","GS3","GS4","GS5","GS6","GS7","GS8","GS9","GS10","GS11","GS12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","gender","surveyelapse","VCL1","VCL2","VCL3","VCL4","VCL5","VCL6","VCL7","VCL8","VCL9","VCL10","VCL11","VCL12","VCL13","VCL14","VCL15","VCL16","education","urban","engnat","hand","religion","orientation","race","voted","married","familysize","operatingsystem","browser","screenw","screenh","introelapse","testelapse"
"1",28,"female","RO",36,31,44,28,17,30,0,7,1,5,3,3,3,2,3,5,3,2,3,3,2,4,3,2,5,5,2,2,4,2,5,4,4,5,4,4,5,4,5,4,2,2,4,3,2,2,3,4,2,4,1,1,2,1,1,2,2,2,2,3,2,3,4,4,3,2,3,3,2,4,2,174,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,4,3,2,1,1,1,4,1,1,2,"Windows","Chrome",1366,768,69590,307
"2",19,"female","US",31,40,42,35,21,42,1,6,2,4,3,3,4,1,3,3,2,1,3,2,4,4,5,3,5,4,4,4,5,2,4,4,5,4,4,5,4,3,4,5,4,3,4,3,1,3,5,4,5,3,5,2,1,2,2,1,1,2,3,2,5,4,5,3,3,4,5,5,5,3,2,120,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,2,3,1,1,6,1,4,2,1,3,"Macintosh","Chrome",1280,800,33657,134
"3",16,"female","US",33,18,41,34,27,35,0,7,3,3,3,3,2,3,2,2,3,3,3,3,1,1,2,2,3,4,1,1,2,1,4,4,4,4,4,3,5,5,4,4,2,4,4,4,3,2,5,3,3,4,3,3,1,3,3,2,4,2,3,3,4,3,4,3,4,4,4,3,4,2,2,99,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,2,2,1,0,1,1,2,1,3,"Windows","Firefox",1920,1080,95550,138
"4",30,"female","KE",20,19,40,44,16,18,0,5,1,3,2,2,2,1,1,2,1,1,3,1,3,1,2,2,3,2,3,1,1,1,5,4,3,4,4,5,4,2,5,4,4,5,5,5,4,5,4,5,4,3,1,2,1,1,4,1,2,1,1,2,1,1,3,3,2,3,1,1,2,1,2,5098,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,2,1,1,6,1,3,1,1,6,"Windows","Chrome",1600,900,4,4440
"5",38,"male","JP",37,12,30,38,27,35,0,2,1,4,3,3,4,2,4,2,3,3,4,4,1,1,1,1,2,1,1,1,1,2,5,3,2,4,3,3,4,1,3,2,3,5,3,5,4,4,3,4,3,4,2,3,2,3,2,3,2,4,4,2,4,5,5,3,5,4,1,1,4,3,1,340,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,4,2,2,1,2,1,1,2,2,3,"Windows","Firefox",1920,1080,3,337
"6",23,"female","AU",23,42,46,42,18,14,0,4,1,4,1,1,3,1,2,1,2,3,2,2,3,5,3,5,4,5,4,4,5,4,5,5,5,4,5,5,5,2,5,5,5,3,4,5,4,3,4,5,4,5,2,2,1,2,2,2,2,2,2,1,1,3,1,1,2,1,1,2,1,1,2,515,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,1,12,1,1,2,0,1,"Windows","Chrome",1920,1080,2090,554
"7",35,"male","US",37,40,50,34,24,40,0,9,2,5,3,4,5,1,5,5,4,1,1,1,4,5,3,4,3,5,4,4,5,3,5,5,5,5,5,5,5,5,5,5,2,2,5,3,2,5,4,3,4,4,2,2,4,1,3,3,2,2,1,4,5,4,4,4,3,4,5,5,4,2,1,126,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,1,1,3,1,4,2,3,1,"Windows","Chrome",1366,768,36,212
"8",22,"male","RO",40,30,35,42,23,44,1,6,3,5,5,4,5,3,2,2,3,3,2,3,3,3,4,3,2,4,2,3,4,2,3,3,5,3,3,3,5,3,4,3,4,5,5,3,3,5,5,3,5,4,5,1,2,2,2,1,2,2,3,3,5,4,5,4,4,5,4,5,5,3,1,208,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,2,1,2,1,7,3,5,2,1,2,"Windows","Chrome",1366,768,6,207
"9",50,"male","EU",21,44,43,40,13,15,0,8,1,3,3,1,2,1,1,2,2,1,3,1,3,5,5,5,5,5,4,4,4,4,4,5,5,5,4,5,5,1,4,5,4,3,4,5,3,5,3,5,4,4,1,2,1,1,1,3,1,1,1,1,3,2,3,1,1,1,1,1,1,1,1,130,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,3,3,2,1,12,1,4,2,3,3,"Windows","Microsoft Internet Explorer",1600,1000,14,183
"10",16,"female","NZ",30,41,40,34,13,32,0,5,2,3,4,2,2,2,2,2,2,3,4,2,4,5,5,4,4,5,5,2,3,4,4,4,4,5,4,4,4,3,4,4,4,3,4,3,2,3,4,4,3,4,1,1,1,1,1,1,1,2,2,2,4,3,4,4,3,3,3,2,3,3,2,129,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,1,1,1,1,4,2,1,2,"Macintosh","Chrome",1440,900,68,143
"11",52,"male","AE",34,30,34,38,24,14,0,4,1,3,3,4,2,3,3,3,3,3,3,3,5,3,3,3,5,1,3,3,3,1,5,5,5,3,3,3,3,1,3,3,5,3,5,5,3,3,3,3,5,3,3,3,1,3,3,1,3,3,3,1,1,1,1,3,1,1,1,1,1,3,1,592,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,3,1,2,1,8,1,1,1,3,3,"Windows","Chrome",1280,1024,726,311
"12",20,"female","AU",44,20,44,39,26,49,0,4,3,5,5,4,5,3,5,4,4,4,1,1,1,2,1,1,1,3,3,5,2,1,5,3,5,4,4,5,3,5,5,5,3,5,5,3,1,5,4,3,5,5,3,4,1,1,3,1,4,4,2,3,5,4,5,5,5,5,5,5,5,5,2,217,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,2,1,2,12,1,4,1,1,1,"Windows","Firefox",1366,768,376,407
"13",23,"female","US",23,30,40,37,16,25,0,6,3,2,1,3,1,2,1,2,1,1,4,2,1,4,3,4,3,4,3,2,3,3,4,4,5,5,3,5,5,2,4,3,3,4,5,4,3,4,3,4,4,3,1,1,3,1,1,3,1,1,1,3,3,2,3,3,2,3,1,2,4,2,2,262,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,3,3,1,1,4,1,4,2,1,3,"iOS","ChromeiOS",320,568,3,831
"14",20,"female","MY",43,29,43,31,25,29,0,5,3,4,5,2,5,3,5,5,3,4,1,3,3,3,3,3,3,1,5,1,3,4,4,5,4,4,4,5,5,3,5,4,3,3,5,2,4,3,2,3,2,4,2,3,1,3,2,3,3,3,2,3,5,1,5,4,5,1,1,1,5,1,2,204,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,10,1,1,2,1,9,"Windows","Chrome",1920,1080,3,371
"17",23,"male","AU",23,42,46,42,18,14,0,3,1,4,1,1,3,1,2,1,2,3,2,2,3,5,3,5,4,5,4,4,5,4,5,5,5,4,5,5,5,2,5,5,5,3,4,5,4,3,4,5,4,5,2,2,1,2,2,2,2,2,2,1,1,3,1,1,2,1,1,2,1,1,1,95,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,1,12,1,1,2,1,1,"Windows","Chrome",1920,1080,485,411
"18",23,"female","NO",34,35,42,38,12,33,0,8,3,5,2,5,4,1,3,3,2,2,3,1,2,4,5,4,4,4,2,4,4,2,4,4,5,4,3,5,4,4,5,4,4,4,4,5,2,4,5,4,4,2,1,1,1,1,1,1,2,1,1,2,4,2,4,4,5,2,4,2,4,2,2,327,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,3,2,2,1,2,1,4,1,1,3,"Macintosh","Chrome",1280,800,3,303
"19",18,"female","MY",27,37,38,35,14,37,1,4,3,4,2,4,2,1,4,1,1,2,2,1,2,4,4,4,5,5,3,4,4,2,4,4,3,4,5,3,4,2,5,4,4,2,5,2,3,2,5,3,5,4,1,1,2,1,1,1,2,2,1,2,4,3,5,2,4,2,4,4,5,4,2,219,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,2,3,2,1,10,4,1,2,1,2,"Windows","Microsoft Internet Explorer",1366,768,3,353
"20",24,"female","PK",22,36,42,42,23,19,0,4,1,2,2,4,2,2,2,1,1,1,2,2,1,1,5,5,3,5,3,5,5,3,3,5,5,1,4,5,5,5,4,5,4,3,5,2,5,5,5,5,3,5,3,5,1,1,2,3,3,3,1,1,1,1,4,3,1,1,3,1,1,3,2,267,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,4,1,2,1,10,2,1,2,1,0,"Windows","Chrome",1024,768,9,287
"21",27,"female","GB",46,17,31,21,28,48,0,4,4,4,3,5,4,2,3,5,5,5,3,3,1,3,2,2,2,2,2,1,1,1,1,3,5,3,2,5,4,1,5,2,4,2,2,1,1,1,2,2,3,3,3,5,2,2,3,1,3,4,3,2,5,5,5,5,5,5,5,5,4,4,2,193,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,2,3,1,2,1,1,4,2,2,1,"iOS","ChromeiOS",768,1024,3,444
"22",22,"male","US",30,27,50,30,26,29,0,6,1,5,3,1,4,1,5,5,2,1,1,1,3,5,1,2,2,5,1,2,4,2,5,5,5,5,5,5,5,5,5,5,4,3,4,4,1,2,3,2,4,3,4,2,3,2,2,3,1,3,2,4,2,1,2,3,1,4,5,5,4,2,1,92,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,2,1,2,6,4,4,2,1,2,"Macintosh","Chrome",1280,800,852,163
"23",18,"female","US",32,33,41,25,19,33,0,8,3,4,5,4,4,1,3,2,2,1,2,1,4,4,4,3,4,5,4,2,2,1,5,4,4,4,4,4,4,4,4,4,2,1,2,2,1,1,4,4,4,4,2,2,2,2,2,2,2,1,2,2,4,4,5,4,2,2,4,2,2,4,2,108,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,2,2,1,1,9,1,4,1,1,2,"Macintosh","Chrome",1440,900,4,110
