"Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","age","gender","education","TIPI1","TIPI2","TIPI3","TIPI4","TIPI5","TIPI6","TIPI7","TIPI8","TIPI9","TIPI10","B5_Extraversion","B5_Agreeableness","B5_Conscientiousness","B5_EmotStability","B5_Openness"
4,4,3,1,4,4,5,5,3,5,4,4,5,3,4,3,5,4,3,4,25,1,2,6,6,5,7,5,0,7,1,5,1,7,4.5,6,3,6
5,5,5,4,5,4,5,3,4,2,5,4,5,4,5,2,5,5,3,4,18,1,1,5,6,2,6,5,5,5,5,1,2,4,3.5,2.5,1.5,5.5
4,2,2,4,3,5,3,2,1,4,4,5,4,3,1,5,4,4,5,1,35,1,2,1,7,6,3,5,7,6,6,3,1,1,3.5,4,4,6
2,2,1,4,2,1,1,2,2,3,5,4,2,2,1,1,3,3,1,2,33,3,2,2,5,7,4,6,6,6,4,4,6,2,4.5,5.5,4,4
5,5,5,5,5,4,5,5,1,1,3,5,5,5,5,5,5,4,5,5,18,1,2,1,1,7,1,4,7,7,1,7,1,1,7,7,7,5.5
4,5,5,5,5,5,5,4,3,4,5,5,5,5,4,1,5,4,5,4,29,1,4,7,6,6,1,7,1,6,1,7,1,7,4,6.5,7,7
5,5,5,3,4,5,4,2,5,5,4,5,4,5,1,4,5,1,3,5,18,1,2,6,5,7,1,6,6,1,4,7,5,4,2,5.5,7,4.5
5,5,2,5,5,3,3,5,3,1,5,5,3,4,1,4,3,5,3,5,28,1,3,4,6,6,5,7,4,5,1,5,1,4,3.5,6.5,4,7
3,4,2,3,2,3,3,1,1,4,5,2,1,4,3,5,4,3,5,2,45,2,4,3,2,5,7,5,5,7,5,5,2,3,6.5,4,3,5.5
3,5,5,5,4,5,5,5,5,2,5,3,5,5,4,5,5,5,5,4,28,1,4,2,2,6,5,7,6,1,2,6,1,2,3.5,6,4.5,7
3,4,3,4,5,2,4,3,2,5,3,5,1,4,3,4,4,3,5,4,19,2,2,6,6,5,2,7,2,6,5,6,2,6,4,4,6,6.5
5,4,5,5,4,5,5,5,4,2,5,5,5,5,5,5,5,4,5,3,17,1,2,5,6,7,2,5,4,3,1,6,2,4.5,2.5,7,6,5.5
2,4,2,2,3,5,5,5,2,4,5,4,4,4,4,5,1,4,5,4,33,2,3,1,1,3,6,7,7,6,3,3,2,1,6.5,4,2.5,6.5
2,1,5,2,4,5,5,4,1,1,5,5,2,5,1,5,1,5,5,4,68,1,4,1,6,7,6,5,7,6,5,7,6,1,4,5,4.5,3.5
5,4,2,3,4,2,3,4,2,4,4,5,4,4,5,4,4,4,5,2,24,2,3,6,6,5,6,6,2,4,5,3,3,6,3,4,2.5,5.5
4,4,4,5,3,5,4,1,2,2,5,5,1,1,1,5,5,4,5,1,29,2,3,6,7,6,7,5,5,4,3,4,1,4.5,2.5,5.5,2.5,6
2,2,4,2,2,4,4,1,1,2,5,4,2,4,2,4,5,4,4,4,58,2,0,6,7,6,1,7,5,5,7,6,1,4.5,3,3.5,6.5,7
5,5,3,2,4,5,5,5,4,5,5,5,5,3,4,5,5,5,5,1,21,2,3,3,6,5,7,5,5,6,2,2,5,3,4,5.5,1.5,4
2,3,1,2,4,2,4,1,2,4,5,5,4,3,4,2,2,2,4,4,34,1,4,3,7,5,3,5,6,2,3,3,5,2.5,1.5,5,4,4
1,1,3,3,2,4,5,2,1,4,4,2,2,3,2,4,5,2,5,1,23,2,3,3,2,3,2,1,6,7,5,6,2,2.5,6.5,3,6,3.5
5,2,3,4,3,3,2,4,1,1,4,5,4,4,2,4,3,5,5,5,22,2,3,5,5,5,5,6,6,6,5,3,2,3.5,4.5,4,3,6
4,4,1,4,5,4,5,5,2,4,5,5,4,2,1,5,5,5,5,4,34,2,0,2,5,5,7,5,6,3,7,2,7,2,3,3,1.5,3
1,1,1,5,5,1,1,1,1,1,5,1,5,5,5,5,5,5,5,1,19,1,2,1,7,7,1,7,7,7,1,7,1,1,4,7,7,7
4,2,4,3,1,4,4,1,1,5,5,4,2,4,3,2,5,2,1,3,28,1,3,3,6,7,2,3,4,4,2,3,5,3.5,3,6.5,4.5,3
2,5,2,4,4,4,5,1,1,1,4,4,5,4,2,5,2,2,5,1,24,2,2,3,2,7,5,5,6,5,5,2,6,2.5,5.5,5,2.5,3.5
5,5,2,5,5,5,5,3,3,3,5,5,5,5,3,5,5,2,5,2,16,1,1,3,5,7,4,5,5,6,6,7,1,3,4.5,4.5,5.5,6
2,4,5,3,2,2,1,2,2,4,3,3,2,4,1,4,1,4,1,3,20,1,2,7,5,6,2,7,1,6,2,6,6,7,4.5,6,6,4.5
1,1,1,5,1,1,1,1,1,1,5,5,1,5,1,1,1,1,1,1,32,1,2,6,1,6,1,6,6,6,1,6,1,4,6.5,6.5,6.5,6.5
5,1,5,5,5,4,5,4,1,5,5,5,4,5,5,5,5,5,5,1,30,2,3,1,6,5,2,5,6,1,4,5,6,1.5,1.5,4.5,5.5,3.5
4,4,1,2,3,2,4,4,2,3,3,3,2,4,4,3,4,4,3,1,24,2,3,5,5,5,5,7,6,6,2,3,1,3.5,4.5,5.5,3,7
3,4,1,1,4,1,1,3,1,1,3,4,1,1,1,1,3,1,1,1,45,2,4,3,5,6,6,7,5,7,5,4,1,3,5,4.5,3,7
4,5,4,5,4,4,5,4,5,2,4,3,2,5,4,5,1,2,5,2,36,1,4,6,5,2,2,6,2,5,5,6,4,6,4,2.5,6,5
5,1,5,5,5,5,5,5,1,5,5,5,1,5,4,5,5,5,5,5,35,1,4,3,5,7,1,7,6,6,1,7,1,2.5,4.5,7,7,7
2,4,2,4,5,4,5,1,1,1,5,2,5,4,5,4,5,5,5,1,23,1,2,6,5,6,2,6,5,6,7,7,5,4.5,4.5,3.5,6.5,4.5
2,2,2,3,4,2,2,3,1,2,2,3,2,3,2,3,2,2,3,3,32,2,2,3,5,5,5,5,7,5,5,5,7,2,4,4,4,3
4,5,5,2,5,5,5,5,3,4,5,5,4,5,4,5,5,5,4,2,28,2,3,2,5,7,5,7,7,6,3,7,1,1.5,4.5,6,5,7
3,5,2,4,4,4,3,5,3,2,4,4,3,5,4,5,1,4,5,1,33,1,3,2,6,5,5,2,4,2,3,6,2,3,2,5,4.5,4
2,4,4,3,4,4,3,3,1,2,4,2,2,3,4,5,5,4,5,2,20,2,2,2,1,6,1,6,7,6,3,4,3,1.5,6.5,5.5,5.5,5.5
5,4,3,3,2,5,5,3,4,4,5,5,5,4,5,5,1,4,4,2,32,2,4,3,6,6,4,7,3,4,1,5,1,4,3,6.5,4.5,7
2,4,1,4,2,3,5,1,1,2,4,2,4,3,1,1,3,5,5,1,38,1,3,5,5,5,3,3,5,5,3,5,3,4,4,5,5,4
1,1,2,3,1,4,4,1,1,2,5,4,1,4,1,4,4,2,5,1,69,2,4,5,6,6,6,7,6,7,6,6,3,3.5,4.5,4,4,6
5,4,5,5,3,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,29,1,3,1,7,7,5,7,7,7,1,7,1,1,4,7,5,7
1,1,4,1,2,1,1,1,1,1,5,1,1,5,1,4,1,1,2,2,49,1,3,7,1,3,2,6,6,7,2,7,1,4.5,7,4.5,6.5,6.5
5,4,3,5,5,2,5,1,3,2,4,5,4,5,4,2,3,1,5,4,20,1,3,2,1,7,5,7,7,3,5,5,1,1.5,5,5,4,7
5,5,5,5,5,2,1,5,1,3,5,5,1,5,5,1,5,4,5,1,40,2,4,1,1,7,1,6,5,7,1,7,4,2,7,7,7,5
4,1,5,4,5,4,4,3,1,4,5,4,5,3,4,5,5,1,5,1,34,1,3,3,6,5,5,7,5,4,5,3,1,3,3,4,3,7
4,4,4,2,5,4,4,4,2,4,5,5,4,4,5,4,5,3,5,4,39,2,4,5,3,5,5,6,2,5,3,3,2,5.5,5,5,3,6
1,1,2,1,1,1,1,1,1,1,4,1,1,5,4,2,3,4,5,3,20,2,2,6,5,6,6,7,5,6,4,4,4,4.5,4.5,5,3,5.5
2,2,2,2,4,2,4,2,1,2,4,4,2,2,1,4,3,4,4,3,33,1,4,5,5,7,2,7,5,6,5,5,1,4,4.5,5,5.5,7
4,4,4,3,5,4,4,4,3,2,4,5,4,4,3,5,5,4,5,2,14,2,1,2,6,7,6,2,6,5,1,7,5,2,3.5,7,4.5,2.5
5,5,5,2,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,53,1,3,1,5,7,4,6,6,2,1,7,7,1.5,2.5,7,5.5,3.5
1,4,3,4,2,4,5,2,2,3,5,4,1,5,2,4,4,4,5,2,17,1,2,2,5,5,5,3,6,5,2,3,4,2,4,5.5,3,3.5
5,4,4,5,5,5,5,5,5,4,5,5,4,5,5,5,1,5,4,3,20,1,2,3,5,2,5,6,6,3,5,5,1,2.5,3,2.5,4,6.5
